"HolderAddress","Balance","PendingBalanceUpdate"
"0x1bbde190dbe5e27a3cf38580e32ae5d91e9eba9a","0.008395005357692085","No"
"0x24447b86bc86f3ab2ae83c7d9e97e2ff441f23d7","0.008393634235591774","No"
"0xdc8f3d3a3f8e1d50bc1529f26ca614b7594edc3b","0.008295131686109572","No"
"0xb3544033650e6e9143901306bcfa2c1ba01b3862","0.008230112388884235","No"
"0xd2efc72ea0ae33a5a6bb98763cca121922350582","0.00817147077282033","No"
"0xd415b5cee828ab40480b66d4bf8b57a4b90175f2","0.008106644678607098","No"
"0xf6ac737ae153082f48a2f44d5ea9856a002f54eb","0.007937371790893534","No"
"0x53e0b897eae600b2f6855fce4a42482e9229d2c2","0.007809190807570913","No"
"0xee9f5e181625263639f605bb97d9bf3758fb6c7a","0.007720020284784018","No"
"0x46783eee72267ec320e496a588d668c944956a41","0.007589187689290421","No"
"0x3c4a36d88ddb653ea11309071b8890747edb8e1b","0.007349844138964749","No"
"0x897fcb4649010f73852dd9d10f899984995e1690","0.007194057514931082","No"
"0x1815c3ec835c82dcd6aa4f74e006f906f4e66ebb","0.00715949024778996","No"
"0x3e569ecc7de9e14edd9c155b2c81485fb265a58c","0.007104858302132953","No"
"0x0b17cf48420400e1d71f8231d4a8e43b3566bb5b","0.007095048662946293","No"
"0x2cb91c883f14c420d7dfba70275c5ba5b979835c","0.007079019181746066","No"
"0xeabd3a198f47f536b504c25b45a7e22d88479f28","0.00680998258700711","No"
"0xb5a865367ba4c637897b269e26ec5e8da91b40da","0.006723303980133499","No"
"0x17fe648ebf1ec3d36c79af034ae16e9308267d7e","0.006689494601027827","No"
